frame,wall_clock_s,bt709_s,ours_s,rival_s
1,0.4402,0.00191,0.04808,0.30374
2,0.8315,0.00169,0.07802,0.28379
3,1.1730,0.00138,0.06062,0.26704
4,1.4327,0.00174,0.08611,0.16356
5,1.6820,0.00159,0.07023,0.16953
6,1.9827,0.00128,0.04644,0.19052
7,2.3515,0.00175,0.05412,0.30527
8,2.5906,0.00185,0.05270,0.17707
9,2.8357,0.00172,0.06556,0.16847
10,3.0722,0.00154,0.06095,0.16679
11,3.4957,0.00109,0.12566,0.21405
12,3.7765,0.00106,0.05503,0.21722
13,4.0824,0.00191,0.10273,0.19181
14,4.3838,0.00190,0.07131,0.21825
15,4.6725,0.00150,0.08517,0.19383
16,5.1074,0.00163,0.09210,0.25806
17,5.4089,0.00156,0.07527,0.21506
18,5.7568,0.00146,0.13413,0.19308
19,6.0206,0.00154,0.06037,0.19392
20,6.3454,0.00129,0.12104,0.19192
21,6.7886,0.00090,0.07192,0.23415
22,7.0591,0.00149,0.07397,0.17861
23,7.3866,0.00193,0.07824,0.23306
24,7.6404,0.00160,0.06564,0.17325
25,7.8893,0.00167,0.05005,0.18712
26,8.1928,0.00123,0.06039,0.17405
27,8.4240,0.00101,0.05529,0.16363
28,8.6913,0.00169,0.06177,0.19327
29,8.9939,0.00090,0.06428,0.17139
30,9.2559,0.00161,0.05565,0.17081
31,9.5903,0.00165,0.06016,0.17279
32,9.8733,0.00147,0.07196,0.19415
33,10.1423,0.00118,0.06085,0.19036
34,10.4023,0.00184,0.06727,0.17420
35,10.7259,0.00097,0.05559,0.25201
36,11.0257,0.00198,0.05417,0.16984
37,11.3020,0.00102,0.05931,0.19033
38,11.6322,0.00162,0.05910,0.24429
39,11.9634,0.00113,0.05883,0.24261
40,12.2409,0.00122,0.05519,0.19541
41,12.5750,0.00118,0.05008,0.20056
42,12.9033,0.00134,0.07978,0.22322
43,13.1929,0.00138,0.05330,0.21202
44,13.5133,0.00149,0.05552,0.24428
45,13.7797,0.00118,0.05453,0.18413
46,14.1599,0.00177,0.06237,0.22659
47,14.5180,0.00159,0.05218,0.28452
48,14.8487,0.00168,0.05050,0.26408
49,15.0903,0.00171,0.05726,0.16908
50,15.4618,0.00122,0.06158,0.29286
51,15.9486,0.00104,0.05495,0.35424
52,16.2183,0.00101,0.05007,0.20454
53,16.5878,0.00089,0.06007,0.29149
54,16.9971,0.00077,0.06972,0.32119
55,17.3273,0.00107,0.06060,0.25053
56,17.6604,0.00105,0.06725,0.18986
57,17.9433,0.00113,0.05880,0.20516
58,18.2315,0.00099,0.05497,0.21677
59,18.4895,0.00111,0.05108,0.18946
60,18.8133,0.00076,0.06037,0.24645
61,19.1736,0.00087,0.04978,0.23448
62,19.6448,0.00111,0.06744,0.38632
63,19.9958,0.00170,0.07441,0.26139
64,20.3562,0.00114,0.05216,0.29119
65,20.7411,0.00087,0.05411,0.31380
66,21.2589,0.00083,0.04998,0.39180
67,21.5435,0.00101,0.06075,0.20599
68,22.0005,0.00100,0.05056,0.38993
69,22.4559,0.00178,0.04927,0.38863
70,22.8207,0.00104,0.05847,0.28881
71,23.1909,0.00105,0.08814,0.20717
72,23.4864,0.00165,0.06689,0.21094
73,23.7635,0.00091,0.05242,0.20699
74,24.2443,0.00113,0.08275,0.38061
75,24.7203,0.00100,0.06416,0.39535
76,25.2655,0.00097,0.06512,0.39236
77,25.5601,0.00148,0.08493,0.19344
78,25.8724,0.00101,0.09007,0.20637
79,26.1654,0.00125,0.06577,0.21151
80,26.5578,0.00139,0.06134,0.31338
81,27.0886,0.00138,0.05995,0.38784
82,27.3769,0.00145,0.07303,0.18992
83,27.8468,0.00152,0.08312,0.36180
84,28.1557,0.00157,0.09473,0.18909
85,28.5756,0.00121,0.06003,0.33675
86,28.9873,0.00153,0.04725,0.27971
87,29.4316,0.00147,0.06465,0.35380
88,29.6974,0.00113,0.05070,0.19253
89,30.0143,0.00129,0.06460,0.22723
90,30.3099,0.00130,0.05974,0.21069
91,30.6631,0.00079,0.06035,0.22223
92,31.0258,0.00120,0.07355,0.26264
93,31.2749,0.00139,0.05159,0.17214
94,31.5207,0.00140,0.06178,0.15655
95,31.7415,0.00150,0.06019,0.13517
96,32.0616,0.00175,0.05773,0.18850
97,32.4125,0.00108,0.06252,0.26833
98,32.7879,0.00112,0.06798,0.29060
99,33.1352,0.00111,0.05842,0.27252
100,33.4115,0.00235,0.05477,0.20256
101,33.7946,0.00166,0.06834,0.23886
102,34.0833,0.00124,0.05299,0.21868
103,34.3883,0.00102,0.05167,0.23722
104,34.7670,0.00120,0.06713,0.29531
105,35.0124,0.00113,0.07421,0.15416
106,35.2907,0.00157,0.05858,0.13638
107,35.7407,0.00137,0.05184,0.38327
108,36.1077,0.00092,0.05210,0.29703
109,36.4405,0.00085,0.05790,0.25725
110,36.7497,0.00102,0.06263,0.22933
111,37.1757,0.00118,0.05723,0.29282
112,37.4731,0.00155,0.06540,0.20805
113,37.7860,0.00134,0.07622,0.22061
114,38.1044,0.00094,0.07547,0.22629
115,38.4299,0.00146,0.07354,0.22653
116,38.8838,0.00186,0.06450,0.30268
117,39.3289,0.00138,0.08867,0.33282
118,39.6613,0.00231,0.08314,0.22385
119,40.0937,0.00133,0.06060,0.34765
120,40.4036,0.00132,0.06191,0.22480
121,40.7960,0.00152,0.06002,0.24530
122,41.1094,0.00154,0.07017,0.21976
123,41.4079,0.00146,0.05630,0.22660
124,41.7259,0.00090,0.08180,0.22057
125,42.0128,0.00098,0.05917,0.21221
126,42.4183,0.00150,0.05174,0.27918
127,42.7735,0.00151,0.06697,0.26762
128,43.1436,0.00098,0.08892,0.26373
129,43.5126,0.00124,0.08762,0.26270
130,43.8906,nan,0.07281,0.28521
131,44.2845,nan,0.06283,0.25628
132,44.5540,nan,0.08837,0.15913
133,44.7925,nan,0.06048,0.16315
134,45.0291,nan,0.05909,0.15610
135,45.3335,nan,0.05991,0.22154
136,45.6893,nan,0.09028,0.22477
137,46.0240,nan,0.05865,0.25686
138,46.2978,nan,0.07888,0.17258
139,46.5833,nan,0.08677,0.18390
140,46.8202,nan,0.06773,0.15416
141,47.2906,nan,0.07305,0.35828
142,47.7227,nan,0.06484,0.33635
143,48.1446,nan,0.06201,0.31155
144,48.5803,nan,0.09836,0.31377
145,48.8923,nan,0.07123,0.22153
146,49.2391,nan,0.08770,0.22644
147,49.5753,nan,0.08251,0.23182
148,49.8763,nan,0.06625,0.21728
149,50.1695,nan,0.07245,0.20319
150,50.5368,nan,0.06512,0.28223
151,50.8417,nan,0.06297,0.20228
152,51.2447,nan,0.05686,0.32492
153,51.5378,nan,0.07829,0.19679
154,51.8654,nan,0.06326,0.24544
155,52.1947,nan,0.06957,0.24155
156,52.5707,nan,0.08372,0.25509
157,52.8442,nan,0.06368,0.19401
158,53.1079,nan,0.06052,0.18202
159,53.4003,nan,0.08928,0.18687
160,53.8170,nan,0.06512,0.32812
161,54.1869,nan,0.06909,0.26086
162,54.4675,nan,0.07498,0.18795
163,54.8190,nan,0.06197,0.26802
164,55.1189,nan,0.06532,0.21259
165,55.4768,nan,0.06595,0.27220
166,55.8179,nan,0.05893,0.24530
167,56.1173,nan,0.06130,0.21960
168,56.4517,nan,0.06865,0.24602
169,56.7570,nan,0.06872,0.21613
170,57.0835,nan,0.06565,0.23736
171,57.4241,nan,0.05911,0.23846
172,57.7442,nan,0.05991,0.24216
173,58.0663,nan,0.05917,0.24390
174,58.4420,nan,0.07343,0.27676
175,58.7915,nan,0.09612,0.23527
176,59.1608,nan,0.07659,0.25832
177,59.5228,nan,0.05694,0.25884
178,59.8667,nan,0.07918,0.24199
179,60.1954,nan,0.07519,0.23811
180,60.5280,nan,0.07599,0.23662
181,60.8534,nan,0.07214,0.21840
182,61.1872,nan,0.05764,0.25628
183,61.5111,nan,0.10581,0.20053
184,61.7847,nan,0.07036,0.18837
185,62.0557,nan,0.05725,0.19451
186,62.3155,nan,0.06563,0.16260
187,62.6229,nan,0.07404,0.21942
188,62.8949,nan,0.07306,0.18151
189,63.1673,nan,0.07507,0.18262
190,63.4337,nan,0.07431,0.17483
191,63.8331,nan,0.05908,0.29902
192,64.1618,nan,0.06386,0.22637
193,64.5135,nan,0.07628,0.24613
194,64.8698,nan,0.06904,0.24076
195,65.1190,nan,0.07314,0.15303
196,65.4300,nan,0.07673,0.19669
197,65.6885,nan,0.07359,0.16640
198,66.1312,nan,0.05723,0.37104
199,66.3932,nan,0.07270,0.17184
200,66.6667,nan,0.06021,0.17702
201,67.0011,nan,0.06057,0.23080
202,67.2716,nan,0.06361,0.18727
203,67.5575,nan,0.05698,0.20835
204,67.8281,nan,0.07439,0.17781
205,68.1053,nan,0.06386,0.16707
206,68.3863,nan,0.07620,0.16895
207,68.6607,nan,0.06339,0.18983
208,68.9227,nan,0.06681,0.17763
209,69.2742,nan,0.07363,0.25470
210,69.6822,nan,0.07333,0.31342
211,69.9563,nan,0.07080,0.16947
212,70.2269,nan,0.07499,0.17451
213,70.5714,nan,0.07208,0.21188
214,70.9013,nan,0.10231,0.21242
215,71.2150,nan,0.07081,0.22282
216,71.5370,nan,0.07501,0.20289
217,71.8354,nan,0.07142,0.20668
218,72.1119,nan,0.05848,0.20113
219,72.3861,nan,0.06018,0.19323
220,72.6781,nan,0.05874,0.20881
221,72.9877,nan,0.07541,0.19642
222,73.2854,nan,0.06100,0.21989
223,73.5934,nan,0.06743,0.22443
224,73.8836,nan,0.06925,0.19784
225,74.2006,nan,0.06033,0.20943
226,74.5219,nan,0.06482,0.22164
227,74.8081,nan,0.07464,0.19495
228,75.0817,nan,0.06391,0.19083
229,75.4473,nan,0.06237,0.28729
230,75.8362,nan,0.08106,0.28929
231,76.1781,nan,0.07919,0.22463
232,76.5188,nan,0.08439,0.23823
233,76.7762,nan,0.06476,0.17604
234,77.1257,nan,0.07095,0.25849
235,77.4838,nan,0.06100,0.27988
236,77.7997,nan,0.06203,0.21546
237,78.1009,nan,0.06311,0.21878
238,78.4354,nan,0.07265,0.23812
239,78.7474,nan,0.05810,0.23724
240,79.0986,nan,0.07613,0.25559
241,79.3685,nan,0.06645,0.16996
242,79.6206,nan,0.06553,0.16583
243,79.9664,nan,0.06497,0.26088
244,80.3065,nan,0.06741,0.24589
245,80.7920,nan,0.06578,0.40119
246,81.1129,nan,0.05788,0.22465
247,81.3717,nan,0.06309,0.17422
248,81.6446,nan,0.07380,0.18341
249,81.9557,nan,0.07642,0.21435
250,82.2777,nan,0.07833,0.22571
251,82.5864,nan,0.06057,0.21655
252,82.8338,nan,0.05598,0.17029
253,83.0902,nan,0.05937,0.18178
254,83.4541,nan,0.05672,0.29143
255,83.7615,nan,0.07377,0.21108
256,84.0480,nan,0.08005,0.17270
257,84.3754,nan,0.06327,0.24559
258,84.7377,nan,0.07673,0.26328
259,85.0679,nan,0.06730,0.24521
260,85.4320,nan,0.07577,0.26522
261,85.8022,nan,0.05480,0.27718
262,86.0776,nan,0.08692,0.17437
263,86.3470,nan,0.07912,0.17547
264,86.6784,nan,0.06434,0.24628
265,86.9309,nan,0.05735,0.17873
266,87.2548,nan,0.07423,0.18049
267,87.5967,nan,0.06455,0.25883
268,87.9906,nan,0.09088,0.27825
269,88.2429,nan,0.06566,0.16861
270,88.5548,nan,0.08673,0.19957
271,88.8584,nan,0.08136,0.18752
272,89.1308,nan,0.07219,0.18003
273,89.5174,nan,0.06480,0.29576
274,89.8644,nan,0.07140,0.25552
275,90.2492,nan,0.08885,0.24435
276,90.6144,nan,0.07639,0.25054
277,91.0061,nan,0.08252,0.29142
278,91.3560,nan,0.06160,0.26663
279,91.7184,nan,0.06495,0.27669
280,92.0507,nan,0.05640,0.25551
281,92.3506,nan,0.08310,0.17898
282,92.7123,nan,0.06362,0.27768
283,93.0790,nan,0.07016,0.27266
284,93.4074,nan,0.07147,0.23290
285,93.6710,nan,0.07305,0.16491
286,93.9627,nan,0.05994,0.16396
287,94.2303,nan,0.08336,0.16794
288,94.5440,nan,0.05828,0.23818
289,94.8630,nan,0.05362,0.24465
290,95.2379,nan,0.09892,0.25597
291,95.5086,nan,0.07317,0.16452
292,95.7668,nan,0.07215,0.17056
293,96.1082,nan,0.09507,0.22866
294,96.4624,nan,0.07862,0.26115
295,96.8035,nan,0.06395,0.26306
296,97.2002,nan,0.09702,0.26155
297,97.5433,nan,0.06368,0.25998
298,98.0023,nan,0.06680,0.37608
299,98.4003,nan,0.06605,0.31434
